number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,user_attrs_threshold,user_attrs_val_acc,state
40,0.7523254821641917,2026-06-24 19:01:34.467179,2026-06-24 19:01:34.959795,0 days 00:00:00.492616,0.791205300053492,0.7327720995860396,0.7413646359971692,1.9533361842505002,3.3254283046687343,0.06982035260927844,5,12,690,0.7083831981257223,0.6600000000000004,0.7928286852589641,COMPLETE
41,0.7472691585594811,2026-06-24 19:01:35.005014,2026-06-24 19:01:35.468835,0 days 00:00:00.463821,1.5506136126106287,0.44632908751732375,0.35791896951361046,3.3897765361472603,7.954941701134408,0.0809909185613226,5,20,788,0.7179037835826313,0.6600000000000004,0.7888446215139442,COMPLETE
42,0.7489972691585596,2026-06-24 19:01:35.513990,2026-06-24 19:01:35.936862,0 days 00:00:00.422872,2.725144297463605,0.41039652019455586,0.33692210208833945,3.0853675480405376,7.7595426700260255,0.08495468277624603,5,19,774,0.7465709141035505,0.7000000000000004,0.7808764940239044,COMPLETE
43,0.7393113159242191,2026-06-24 19:01:35.981131,2026-06-24 19:01:36.381137,0 days 00:00:00.400006,0.45120165664117573,0.3232473565170383,0.3396021560287904,2.6164332348360966,10.220062288813073,0.05933394563481543,5,41,619,0.8059063058063415,0.6500000000000004,0.7788844621513944,COMPLETE
44,0.7539042498719919,2026-06-24 19:01:36.430314,2026-06-24 19:01:36.765362,0 days 00:00:00.335048,1.0525242614652903,0.35423669808540026,0.3823744564537668,4.019386387042395,15.319893647243259,0.09476874322699531,4,13,692,0.6701666945234234,0.5100000000000002,0.7928286852589641,COMPLETE
45,0.7481865506059056,2026-06-24 19:01:36.810296,2026-06-24 19:01:37.338028,0 days 00:00:00.527732,0.11141206787694581,0.5564387502056733,0.5420842985114033,2.831021660964085,11.78921817469662,0.0346621002109666,4,16,757,0.6299369312326901,0.5600000000000003,0.7908366533864541,COMPLETE
46,0.7488372589179041,2026-06-24 19:01:37.383522,2026-06-24 19:01:37.689129,0 days 00:00:00.305607,1.5779465327671909,0.48916237282064234,0.5897995851155092,3.3021346240161034,6.926630009576805,0.027931498990269837,3,34,498,0.5934174235170103,0.38000000000000006,0.7868525896414342,COMPLETE
47,0.7452850315753541,2026-06-24 19:01:37.734717,2026-06-24 19:01:38.113681,0 days 00:00:00.378964,7.8236351951780625,0.6105540210141227,0.30483180890335493,3.6341333736731656,5.364551713568003,0.08437991780845622,4,28,95,0.838517379131522,0.6100000000000003,0.7868525896414342,COMPLETE
48,0.7508533879501622,2026-06-24 19:01:38.158813,2026-06-24 19:01:38.499785,0 days 00:00:00.340972,2.2189036575742613,0.4412267100670222,0.44530694568579016,3.8837371305947688,1.2167608562851413,0.055355554904218944,5,44,391,0.5189572296051821,0.5500000000000003,0.7908366533864541,COMPLETE
49,0.7388846219491381,2026-06-24 19:01:38.546054,2026-06-24 19:01:38.833271,0 days 00:00:00.287217,0.6157888886531114,0.3848600852231382,0.49754565566338116,2.984846104307378,2.0172372017382854,0.005064303690913675,2,32,795,0.7318671563966689,0.34,0.7948207171314741,COMPLETE
